MONTH,ZONE,CIRCLE,DIVISION CODE,DIVISION,OVERALL Input Energy Prog (MU),OVERALL Unit Sold Prog (MU),OVERALL Distribution Loss Prog (%),OVERALL Current Assessment With ED Prog (Lakh),OVERALL  Realisation Prog(Lakh),OVERALL % Realisation Prog,OVERALL ATC Loss,OVERALL Realisation Rate Input Prog (Rs / Unit),OVERALL Realisation Rate Sold Prog (Rs / Unit),GOVERNMENT Unit Sold Prog Govt (MU),GOVERNMENT Current Assessment With ED Prog Govt (Lakh),GOVERNMENT Realisation Prog Govt (Lakh),GOVERNMENT % Realisation Prog Govt,GOVERNMENT ATC Loss Prog Govt,NON GOVERNMENT Unit Sold Prog Non Govt (MU),NON GOVERNMENT Current Assessment With ED Prog on Govt (Lakh),NON GOVERNMENT Realisation Prog Non Govt (Lakh),NON GOVERNMENT % Realisation Prog Non Govt,NON GOVERNMENT ATC Loss Prog Non Govt
May-25,ALIGARH,EDC II ALIGARH,DIV211261,"EDD IGLAS, ALIGARH",34.21,31.93,6.66,1162.21,965.07,83.04,22.49,2.82,3.02,0.24,25.46,33.44,131.37,-22.62,31.69,1136.75,931.63,81.96,23.5
May-25,ALIGARH,EDC II ALIGARH,DIV211262,"EDD KHAIR, ALIGARH",34.84,30.21,13.3,815.61,794.05,97.36,15.59,2.28,2.63,0.08,8.44,0,0,100,30.13,807.16,794.05,98.38,14.71
May-25,ALIGARH,EDC II ALIGARH,DIV211263,"EDD AKRABAD, ALIGARH",26.59,18.57,30.13,673.41,482,71.58,49.99,1.81,2.59,0.4,31.41,0,0,100,18.17,641.99,482,75.08,47.54
May-25,ALIGARH,EUDC ALIGARH,DIV211211,EUDD I ALIGARH,34.65,25.42,26.65,2025.03,2142.03,105.78,22.41,6.18,8.43,1.55,138.52,305.28,220.38,-61.65,23.87,1886.5,1836.75,97.36,28.58
May-25,ALIGARH,EUDC ALIGARH,DIV211212,EUDD II ALIGARH,29.71,24.35,18.02,1708.73,1602.05,93.76,23.14,5.39,6.58,0.91,81.5,0,0,100,23.45,1627.23,1602.05,98.45,19.29
May-25,ALIGARH,EUDC ALIGARH,DIV211213,EUDD III ALIGARH,31.03,22.9,26.2,1885.43,1791.95,95.04,29.86,5.78,7.83,0.94,89.26,0,0,100,21.96,1796.17,1791.95,99.76,26.37
May-25,ALIGARH,EUDC ALIGARH,DIV211214,EUDD IV ALIGARH,30.99,23.81,23.15,1871.86,1847.65,98.71,24.14,5.96,7.76,0.68,67.61,147.03,217.45,-67.11,23.13,1804.25,1700.63,94.26,27.56
May-25,BANDA,EDC BANDA,DIV243913,EDD ATARRA,28.9,21.95,24.03,793.58,507.28,63.92,51.44,1.76,2.31,0.62,49.96,0,0,100,21.33,743.62,507.28,68.22,48.18
May-25,BANDA,EDC BANDA,DIV243914,"EDD BABERU, BANDA",26.9,25.59,4.88,1237.38,235.52,19.03,81.9,0.88,0.92,5.78,589.22,25.91,4.4,95.82,19.81,648.16,209.61,32.34,69.24
May-25,BANDA,EDC BANDA,DIV243911,EUDD BANDA,30.09,22.43,25.47,1399.37,840.82,60.09,55.22,2.79,3.75,2.4,207.3,0,0,100,20.02,1192.07,840.82,70.53,47.43
May-25,BANDA,EDC CHITRAKOOT,DIV243921,EDD CHITRAKOOT DHAM,26,19.59,24.67,1067.05,707.07,66.26,50.08,2.72,3.61,1.2,123.76,24.14,19.51,85.3,18.38,943.3,682.93,72.4,45.46
May-25,BANDA,EDC CHITRAKOOT,DIV243922,"EDD RAJAPUR, CHITRAKOOT",19.33,16.49,14.68,609.69,216.88,35.57,69.65,1.12,1.32,2.67,233.47,0,0,100,13.82,376.21,216.88,57.65,50.81
May-25,BANDA,EDC HAMIRPUR,DIV243721,EDD HAMIRPUR,38.45,33.73,12.26,1992.51,1993.9,100.07,12.2,5.19,5.91,6.24,668.18,978.54,146.45,-28.49,27.49,1324.33,1015.36,76.67,32.73
May-25,BANDA,EDC HAMIRPUR,DIV243723,EDD RATH,23.74,21.98,7.41,861.34,622.94,72.32,33.04,2.62,2.83,2.1,225.69,231.04,102.37,5.21,19.88,635.65,391.9,61.65,42.91
May-25,BANDA,EDC MAHOBA,DIV243711,EDD I MAHOBA,20.92,14.27,31.76,721.3,534.23,74.06,49.46,2.55,3.74,0.8,67.89,0,0,100,13.48,653.4,534.23,81.76,44.21
